Forecast_ID,Date,Department_ID,Expected_Workload_Hours,Expected_Projects,Expected_Revenue,Season,Demand_Level
122,1/13/2026,6,2652,1,260598,Q4,Low
123,11/2/2026,2,3469,18,483373,Q4,Critical
124,10/13/2025,10,654,49,129357,Q4,Critical
125,2/7/2025,5,3523,12,398359,Q4,High
126,1/9/2025,8,3191,31,145967,Q4,High
127,10/5/2025,5,1812,27,68208,Q1,Medium
128,8/25/2025,7,922,16,353209,Q1,Low
129,10/20/2025,3,4122,46,419957,Q2,High
130,9/7/2026,2,3811,4,107481,Q2,Critical
131,3/30/2025,9,3350,20,362920,Q1,Low
132,3/30/2025,7,4367,48,496141,Q2,High
133,6/10/2026,4,2952,45,384382,Q3,Medium
134,1/20/2025,9,4185,48,339545,Q3,Medium
135,2/20/2025,8,4116,27,305096,Q3,Critical
136,2/1/2026,2,2174,24,92877,Q3,Low
137,2/15/2025,1,3792,38,193770,Q2,Critical
138,9/27/2025,9,4627,19,247884,Q2,High
139,11/6/2026,1,4912,24,469911,Q2,Medium
140,3/8/2025,4,3523,5,138364,Q4,Medium
141,12/19/2025,3,1044,32,336541,Q2,Critical
142,6/27/2025,6,601,37,149850,Q4,High
143,11/12/2025,5,1866,33,247394,Q2,Low
144,2/7/2025,1,4288,2,328773,Q1,Medium
145,1/3/2026,8,4438,4,193958,Q2,Critical
146,12/25/2026,1,2175,25,72384,Q4,High
147,4/16/2025,1,4613,47,123377,Q2,High
148,6/10/2025,4,4792,37,420238,Q1,Critical
149,12/15/2026,2,532,42,460306,Q1,Medium
150,1/12/2026,2,862,36,128829,Q3,Low
151,8/11/2025,9,2854,42,278554,Q2,Critical
152,3/15/2025,2,2777,25,162444,Q4,Critical
153,10/12/2026,3,1206,4,176653,Q3,Low
154,2/13/2025,4,3015,30,246138,Q1,Low
155,3/17/2025,1,868,20,63110,Q4,Medium
156,8/20/2026,4,3151,23,487763,Q1,High
157,1/21/2025,4,1309,9,370684,Q2,High
158,5/11/2026,9,2395,3,442347,Q2,Medium
159,9/19/2025,8,4720,3,128032,Q2,Critical
160,11/18/2025,7,3045,5,132295,Q2,High
161,3/4/2025,1,2241,14,358364,Q1,Medium
162,2/19/2025,8,2123,25,201593,Q4,High
163,6/11/2025,3,3125,16,408919,Q2,Critical
164,7/12/2026,7,4097,49,212816,Q3,High
165,1/12/2026,2,567,44,447812,Q4,Low
166,7/1/2026,2,4701,42,91829,Q1,High
167,9/25/2025,2,4345,44,393354,Q3,High
168,12/5/2026,6,2038,49,452831,Q1,Low
169,2/21/2025,1,2154,3,187820,Q4,High
170,12/20/2025,9,1215,24,120152,Q2,High
171,7/4/2026,9,2382,2,399673,Q4,Critical
172,8/5/2026,1,2972,14,186538,Q4,Critical
173,8/26/2026,9,2561,14,350731,Q1,Critical
174,10/15/2026,5,2447,26,133823,Q1,Low
175,1/31/2025,5,4974,48,410234,Q2,High
176,6/17/2025,7,3748,21,368430,Q3,High
177,8/16/2026,10,1148,33,493514,Q1,Critical
178,5/27/2025,1,1854,10,195985,Q2,High
179,12/17/2025,6,1386,20,100316,Q3,Low
180,2/10/2025,4,4980,36,164209,Q3,Critical
181,3/6/2026,6,2613,29,141679,Q2,Medium
182,5/18/2025,8,737,38,62826,Q2,Critical
183,7/21/2026,10,1292,49,488630,Q1,High
184,1/22/2026,10,1113,19,283341,Q2,Medium
185,8/15/2026,6,1014,24,156821,Q3,Medium
186,11/13/2025,9,4564,23,492313,Q4,Medium
187,3/28/2025,7,850,49,221670,Q3,High
188,12/6/2026,2,539,8,237494,Q4,Low
189,1/2/2026,6,2733,14,493796,Q2,High
190,1/10/2025,6,2140,49,288452,Q2,High
191,10/12/2026,5,2330,26,337051,Q4,Critical
192,1/5/2026,7,906,35,239454,Q1,Critical
193,5/6/2025,4,3591,43,436536,Q3,Low
194,7/2/2025,3,2758,29,68504,Q1,Medium
195,1/21/2026,1,2751,25,274546,Q1,High
196,6/17/2025,7,1207,43,385776,Q2,Low
197,8/29/2026,1,1922,27,447397,Q1,Critical
198,9/24/2026,10,3159,9,444594,Q1,Low
199,2/12/2026,4,3400,3,464614,Q3,Low
200,4/25/2025,6,3659,47,176742,Q3,Low
201,3/25/2026,5,4799,43,169334,Q2,Critical
202,12/30/2026,2,1571,42,382766,Q1,Medium
203,7/17/2025,5,3852,17,494973,Q4,Low
204,4/28/2026,10,2789,39,438748,Q4,Critical
205,7/6/2025,8,2415,23,465333,Q2,High
206,12/24/2025,8,2916,15,134260,Q1,Critical
207,9/9/2025,6,1309,34,417734,Q3,Low
208,12/24/2025,4,2835,34,229766,Q1,Critical
209,11/2/2025,7,851,42,293895,Q4,Low
210,1/27/2025,9,2270,31,370952,Q4,Critical
211,3/28/2026,2,3758,38,95213,Q3,Critical
212,3/17/2025,10,932,1,118375,Q2,Critical
213,4/5/2026,5,1861,48,413281,Q4,Critical
214,6/29/2026,8,4039,28,358971,Q4,Medium
215,11/16/2026,8,3216,44,226534,Q1,Critical
216,10/10/2025,4,4189,36,213512,Q4,Low
217,10/16/2025,9,2098,34,82275,Q4,Low
218,2/19/2026,9,4095,28,346010,Q2,Low
219,5/25/2026,7,1078,3,259335,Q3,Critical
220,3/2/2026,2,4067,34,413905,Q4,Low
221,1/2/2026,1,4641,14,250537,Q1,Low
222,9/3/2026,4,4585,25,274440,Q2,Low
223,9/15/2026,5,1838,23,430178,Q1,Medium
224,8/3/2025,6,4074,49,116335,Q2,Medium
225,5/5/2025,7,4311,36,264686,Q3,Critical
226,11/13/2026,8,1177,23,163398,Q1,Medium
227,5/27/2026,1,3910,37,463086,Q1,Low
228,1/4/2026,2,2121,3,226244,Q4,Medium
229,7/7/2026,2,3519,20,238302,Q4,Critical
230,9/29/2026,9,3125,14,459285,Q2,High
231,12/3/2025,10,2986,32,473016,Q4,Medium
232,9/6/2025,7,1247,46,176134,Q1,Medium
233,7/5/2026,2,3870,28,450981,Q3,High
234,4/4/2025,8,2924,22,86924,Q1,High
235,4/19/2025,3,3646,6,94902,Q1,Low
236,10/25/2026,7,3045,40,403768,Q4,Low
237,5/9/2025,2,3250,12,175981,Q4,Critical
238,9/15/2026,7,2195,3,65428,Q1,Critical
239,4/3/2025,1,4683,24,428787,Q1,Critical
240,9/17/2025,8,617,22,395197,Q2,Medium
241,3/16/2026,7,679,9,62558,Q1,Medium
242,5/13/2026,4,2987,3,478399,Q3,Medium
243,8/22/2025,6,3387,36,117918,Q1,Low
244,9/1/2025,7,932,45,234382,Q3,Medium
245,10/10/2025,9,1025,1,57545,Q2,Low
246,8/29/2025,3,3086,34,486983,Q2,Critical
247,12/16/2026,1,683,21,170161,Q3,Low
248,8/16/2025,2,1894,47,269472,Q4,High
249,9/16/2026,7,4170,37,283459,Q4,High
250,6/7/2025,4,1584,20,309880,Q1,Medium
251,1/23/2025,5,3490,15,69838,Q3,High
252,2/22/2026,2,4817,30,301301,Q1,High
253,5/22/2026,5,4881,28,153907,Q1,Medium
254,3/20/2026,1,4413,6,383885,Q1,Critical
255,8/8/2025,10,4847,33,61874,Q3,Low
256,6/26/2026,5,2987,33,179840,Q1,Medium
257,7/27/2025,9,2229,17,374001,Q2,Low
258,4/28/2025,2,3931,2,486834,Q2,Low
259,9/27/2025,7,2890,46,74078,Q2,High
260,7/1/2026,9,1018,46,443213,Q3,Medium
261,10/20/2025,9,1205,4,68020,Q1,Critical
262,9/14/2026,5,2606,25,65339,Q2,High
263,2/20/2026,10,1958,48,315062,Q3,High
264,9/14/2025,5,1676,14,330823,Q3,Medium
265,11/8/2026,3,2301,48,399036,Q4,Critical
266,9/25/2026,5,1223,40,98452,Q3,Low
267,3/19/2026,3,794,8,380663,Q4,Medium
268,12/3/2026,3,2190,31,496399,Q1,Critical
269,2/5/2026,5,3339,34,282404,Q2,Low
270,2/25/2025,8,823,1,403616,Q1,Critical
271,10/3/2026,2,1401,21,210886,Q3,High
272,9/18/2026,2,3958,35,418836,Q1,Medium
273,9/23/2025,1,4605,27,98764,Q4,Medium
274,2/4/2026,7,1100,45,239509,Q3,Low
275,11/30/2025,10,927,33,427167,Q1,Medium
276,6/3/2025,7,1207,47,90157,Q4,Medium
277,3/13/2026,7,4791,41,225681,Q1,Medium
278,9/23/2025,7,4473,24,280846,Q4,Low
279,9/23/2025,5,4780,9,419498,Q4,High
280,7/12/2026,5,2523,47,183486,Q1,Low
281,8/17/2025,9,2480,34,448049,Q4,Critical
282,7/14/2026,9,2742,25,169453,Q2,High
283,3/10/2025,7,2023,32,476293,Q2,Low
284,7/11/2025,5,1212,22,385576,Q3,High
285,6/19/2026,5,2253,28,76955,Q1,Medium
286,10/19/2025,5,1248,17,129986,Q4,Critical
287,6/15/2025,8,4052,40,140994,Q4,Low
288,1/23/2026,1,1111,48,73717,Q4,Medium
289,5/5/2025,6,1783,22,464131,Q4,High
290,2/28/2026,1,579,41,76625,Q2,Low
291,4/6/2025,1,4511,6,216764,Q3,Medium
292,12/22/2025,4,4127,21,168995,Q3,Low
293,1/1/2026,8,643,21,487924,Q3,Critical
294,6/1/2026,3,3766,32,279307,Q3,Low
295,1/8/2026,3,881,34,262382,Q1,Medium
296,3/15/2026,10,1226,1,328236,Q1,Low
297,8/30/2026,6,3563,36,316307,Q3,Critical
298,3/12/2026,8,718,46,64104,Q4,High
299,4/26/2025,8,3527,7,479371,Q4,Medium
300,1/13/2025,5,2802,8,155708,Q4,Low
301,10/25/2026,2,1585,5,131094,Q3,Critical
302,6/25/2026,4,1538,2,451819,Q3,Critical
303,1/5/2026,10,1470,46,100911,Q3,Critical
304,4/29/2025,4,2410,28,133488,Q2,Medium
305,6/12/2026,9,2382,6,242170,Q1,Low
306,6/23/2026,2,3150,38,233709,Q4,Low
307,10/19/2025,7,4182,34,381583,Q1,High
308,8/1/2025,2,4059,45,153900,Q4,Medium
309,3/21/2025,3,3017,41,128770,Q3,Critical
310,1/19/2025,10,1102,44,206239,Q1,Low
311,8/1/2025,9,2689,24,66226,Q3,Low
312,5/4/2026,8,3529,29,216581,Q3,Low
313,12/22/2026,5,4130,49,151036,Q1,Critical
314,11/1/2025,4,1641,4,255234,Q2,High
315,5/16/2026,8,3597,42,98740,Q2,Critical
316,8/20/2025,2,3466,12,239653,Q4,High
317,2/18/2026,9,3842,5,129777,Q4,High
318,3/11/2026,3,638,12,129128,Q1,Low
319,12/16/2025,6,4045,6,358878,Q1,Low
320,6/7/2025,9,3643,9,197589,Q1,Critical
321,2/26/2026,5,4175,34,142017,Q3,Medium
322,2/12/2025,9,1993,14,306343,Q3,Medium
323,2/8/2025,7,4137,46,253333,Q3,Critical
324,10/29/2025,10,3398,10,57697,Q3,Medium
325,1/26/2025,2,2873,10,276369,Q4,High
326,3/10/2025,7,3000,11,288125,Q3,Low
327,6/17/2026,8,1934,34,485218,Q3,Medium
328,5/23/2025,3,4130,8,151521,Q2,Low
329,8/20/2025,6,2386,16,58049,Q3,Low
330,10/27/2026,2,2687,35,441317,Q4,High
331,9/2/2025,2,779,20,151816,Q4,Medium
332,10/4/2026,5,4231,40,172478,Q4,Low
333,12/6/2026,4,4612,49,240224,Q3,Critical
334,11/9/2026,2,4192,39,467629,Q1,Low
335,8/4/2026,2,2160,33,240119,Q2,Medium
336,3/2/2025,4,1620,7,467752,Q4,Critical
337,12/14/2026,2,1395,17,82396,Q2,Medium
338,4/11/2026,10,2659,30,94440,Q2,Critical
339,9/6/2026,6,746,19,487411,Q2,Medium
340,12/23/2026,10,4398,35,458991,Q1,Critical
341,10/19/2025,6,4472,32,237520,Q4,Critical
342,8/25/2025,2,2580,10,102473,Q4,Critical
343,1/30/2025,3,4893,20,187647,Q4,Medium
344,12/13/2025,4,2728,4,359483,Q2,Medium
345,11/23/2025,8,4506,28,449842,Q4,Low
346,2/19/2026,2,3009,17,232838,Q1,Low
347,11/28/2025,9,3425,11,152546,Q1,Medium
348,1/4/2025,2,988,49,110949,Q3,Critical
349,7/6/2026,1,1834,23,436910,Q4,Critical
350,1/31/2025,4,2405,2,316194,Q1,Critical
351,6/12/2025,10,4080,47,283690,Q3,Medium
352,10/28/2025,7,2097,13,440644,Q3,Critical
353,6/29/2026,8,3824,41,102917,Q3,Medium
354,2/26/2026,8,1659,30,386069,Q3,Medium
355,10/2/2025,8,2228,29,220033,Q3,Low
356,5/5/2026,4,2737,36,172474,Q1,High
357,8/17/2025,4,3005,29,275765,Q1,Medium
358,11/30/2026,3,3100,4,396581,Q2,Medium
359,12/13/2025,3,4428,49,201685,Q4,Medium
360,2/6/2026,5,3842,38,72613,Q1,Low
361,6/25/2026,7,1478,13,279776,Q1,High
362,4/28/2025,3,2103,45,71465,Q3,Low
363,3/4/2026,2,4808,11,62649,Q4,Critical
364,11/10/2025,10,2294,5,70689,Q2,Low
365,10/11/2026,3,4101,10,200962,Q3,Medium
366,6/4/2025,6,1739,33,402778,Q2,Low
367,11/13/2026,10,3442,11,166355,Q1,High
368,5/10/2026,3,2927,28,302375,Q4,Critical
369,3/8/2026,1,1688,45,424937,Q3,Critical
370,1/4/2026,8,2274,44,325703,Q3,High
371,3/5/2026,1,4431,21,415992,Q4,Low
372,7/11/2026,2,2862,27,253026,Q4,Low
373,12/16/2026,6,4166,2,172452,Q3,High
374,5/21/2026,3,1226,17,463246,Q4,Low
375,9/30/2025,10,2261,12,255028,Q1,High
376,3/10/2026,4,3822,17,337351,Q4,Critical
377,4/5/2026,8,775,7,379899,Q3,Medium
378,10/31/2025,9,3764,4,178312,Q1,Critical
379,5/1/2025,3,1268,40,327128,Q1,Low
380,10/5/2025,9,1968,21,124526,Q4,Medium
381,11/7/2026,1,3275,19,356114,Q3,Low
382,7/17/2026,8,1518,38,119319,Q2,Low
383,7/17/2025,2,4390,46,289964,Q4,Low
384,9/20/2026,4,1547,4,333514,Q1,High
385,5/4/2026,1,3283,23,265178,Q1,High
386,4/25/2025,6,2755,47,97480,Q4,Medium
387,11/12/2025,4,2730,48,139629,Q3,Medium
388,2/21/2026,4,1598,20,231147,Q3,High
389,1/1/2026,3,1659,45,423304,Q3,Low
390,8/13/2026,2,1889,48,388018,Q1,Low
391,3/8/2025,1,1861,46,321819,Q1,High
392,2/16/2025,8,1474,30,148697,Q2,Low
393,9/6/2025,4,3047,49,110138,Q2,Critical
394,6/24/2025,1,3348,46,354511,Q1,Critical
395,10/11/2026,10,1123,42,480178,Q2,High
396,9/7/2025,1,3562,17,213499,Q2,Medium
397,8/17/2025,6,3773,34,131457,Q3,High
398,10/25/2025,1,4687,11,372163,Q4,Critical
399,6/3/2025,8,1783,22,470197,Q1,Medium
400,4/26/2026,8,4080,27,388000,Q3,Medium
401,4/27/2025,10,4138,30,74269,Q4,High
402,2/14/2026,7,4796,41,239683,Q2,Low
403,2/13/2025,3,2048,9,79486,Q1,Low
404,10/5/2025,2,4920,31,377486,Q1,Medium
405,1/20/2025,3,4022,31,484230,Q2,High
406,12/12/2026,2,4369,47,173557,Q1,Critical
407,9/22/2025,7,1074,29,287433,Q4,Critical
408,12/8/2026,8,1520,15,179501,Q2,Medium
409,7/31/2026,7,3435,31,346255,Q4,Critical
410,10/27/2025,5,3062,2,391011,Q3,High
411,10/21/2025,3,4072,18,136057,Q3,Medium
412,7/10/2025,1,3121,32,431202,Q1,Critical
413,2/3/2026,7,2559,38,219089,Q2,High
414,12/9/2026,5,1180,48,73523,Q3,Low
415,7/19/2026,8,1522,48,385067,Q1,Low
416,10/16/2026,9,4413,6,329572,Q3,High
417,7/5/2026,3,2488,41,176270,Q3,Low
418,1/3/2025,5,3139,8,302733,Q1,Low
419,11/29/2026,7,4030,21,51304,Q1,High
420,4/7/2026,7,1071,2,445908,Q4,High
421,9/11/2026,1,4572,13,199536,Q4,Critical
422,1/8/2026,1,2297,17,84143,Q3,Medium
423,5/6/2026,6,4339,21,443993,Q3,Medium
424,7/13/2025,3,2110,40,308622,Q3,High
425,11/30/2025,2,1954,8,64717,Q3,Medium
426,9/13/2025,5,2920,9,263107,Q3,Medium
427,4/27/2026,2,1374,19,114244,Q2,Medium
428,6/11/2026,4,2009,2,152887,Q3,Critical
429,9/12/2025,1,3363,1,89226,Q2,High
430,1/10/2025,5,2643,16,51117,Q4,Medium
431,10/25/2026,10,1983,11,231796,Q4,Low
432,9/13/2026,5,752,9,332226,Q4,Critical
433,12/28/2026,8,796,18,115205,Q3,Low
434,6/13/2025,7,2896,25,260972,Q1,Low
435,8/8/2025,5,4411,37,294990,Q4,Low
436,9/12/2025,6,1574,36,446909,Q2,Critical
437,4/11/2025,9,1183,1,430196,Q3,Critical
438,9/10/2025,9,2359,9,430224,Q3,Critical
439,12/16/2026,7,1876,32,72499,Q2,Low
440,1/3/2026,2,4255,26,455666,Q4,Low
441,7/9/2026,10,4613,17,453145,Q2,Critical
442,11/25/2026,10,4107,13,389816,Q4,Medium
443,7/12/2025,8,3372,29,386185,Q2,Low
444,2/11/2025,5,3422,40,344952,Q3,High
445,4/13/2026,8,4825,24,161737,Q2,High
446,9/9/2025,4,760,11,293373,Q3,Critical
447,3/19/2025,10,3569,48,85113,Q2,Critical
448,11/10/2025,4,1364,39,192570,Q4,High
449,5/17/2026,3,3381,40,432093,Q2,Medium
450,4/9/2025,1,3600,9,113072,Q4,High
451,3/21/2025,6,3817,25,281044,Q4,Medium
452,8/13/2026,6,1968,37,79670,Q1,Medium
453,8/15/2026,6,2382,31,143474,Q3,Medium
454,4/14/2026,1,1247,7,54797,Q2,Medium
455,4/8/2025,1,3437,29,437033,Q2,Critical
456,1/9/2026,3,4957,22,251036,Q1,Medium
457,7/10/2025,8,4710,20,379628,Q4,Critical
458,9/5/2026,10,2181,22,172777,Q1,Low
459,6/16/2026,6,538,47,165081,Q2,Low
460,8/26/2026,9,1998,11,442185,Q4,Critical
461,4/5/2025,8,3442,10,277599,Q3,Low
462,10/22/2025,8,3967,1,182304,Q4,Critical
463,8/3/2025,5,4077,48,176032,Q4,Critical
464,12/1/2026,7,1940,22,446057,Q1,High
465,4/8/2026,2,807,44,131488,Q2,Medium
466,7/19/2026,2,688,26,480300,Q4,Medium
467,5/31/2025,7,1941,11,82536,Q2,Low
468,4/29/2025,8,4306,34,337445,Q2,High
469,11/23/2026,2,3519,48,177183,Q1,Low
470,9/25/2026,6,1070,36,321032,Q1,Critical
471,7/29/2025,10,4878,3,498516,Q1,Medium
472,7/28/2026,7,1699,32,144401,Q2,Medium
473,4/16/2026,1,1062,29,393459,Q3,Medium
474,5/28/2026,2,1228,15,230945,Q3,Low
475,11/8/2025,2,4015,9,261387,Q1,Critical
476,3/8/2026,8,2511,25,486480,Q2,Low
477,4/21/2025,5,4084,27,384402,Q3,High
478,9/28/2026,7,4488,41,129966,Q4,Medium
479,12/21/2026,6,2735,16,445180,Q2,Low
480,8/3/2025,6,1474,38,340917,Q1,High
481,8/27/2026,1,596,25,357435,Q1,Low
482,7/21/2025,5,593,38,91906,Q3,Medium
483,10/6/2025,5,4815,18,158948,Q1,Low
484,3/4/2025,3,1017,32,88011,Q1,Critical
485,11/19/2025,9,4742,18,462997,Q4,Medium
486,12/6/2025,6,4598,17,156859,Q4,High
487,2/17/2025,10,1611,39,484006,Q2,Medium
488,6/22/2025,7,3446,29,303700,Q1,Medium
489,2/12/2026,10,2709,29,241663,Q2,Critical
490,2/19/2026,6,4606,15,314906,Q2,Low
491,2/13/2025,4,888,43,164276,Q1,High
492,12/18/2026,5,595,33,382058,Q4,Low
493,2/18/2026,2,3851,26,104372,Q3,Medium
494,12/25/2025,1,4993,9,177860,Q3,Critical
495,4/25/2026,4,2533,5,441451,Q4,Critical
496,1/16/2026,5,1491,12,219185,Q2,Critical
497,7/25/2025,4,3233,1,257341,Q1,Medium
498,8/22/2025,9,980,35,229728,Q3,Medium
499,9/19/2025,4,2178,45,218484,Q4,Medium
500,1/26/2025,10,4262,11,76322,Q2,Low
501,7/22/2025,2,2280,9,316416,Q1,High
502,11/20/2025,2,3531,38,228348,Q4,Low
503,2/23/2026,4,4546,18,67880,Q3,High
504,3/30/2026,1,2771,10,158202,Q2,Critical
505,6/4/2025,6,742,38,342258,Q3,High
506,8/25/2025,6,4445,33,199813,Q3,Critical
507,5/27/2026,6,2260,39,387498,Q3,High
508,3/9/2026,7,4115,22,495526,Q1,High
509,3/13/2026,6,4977,49,477928,Q2,High
510,12/30/2026,1,2779,21,170793,Q1,Low
511,3/8/2026,2,4597,26,322016,Q2,High
512,10/22/2026,5,1392,7,219478,Q4,Critical
513,5/25/2025,6,1945,13,477496,Q3,Low
514,3/22/2026,4,569,16,477625,Q1,High
515,1/2/2025,6,4764,48,89446,Q3,Critical
516,3/4/2026,9,4758,24,496343,Q3,Critical
517,6/11/2026,8,3324,46,130907,Q3,Medium
518,7/10/2025,9,2978,36,70355,Q1,Low
519,2/3/2025,2,1163,34,474058,Q4,High
520,10/19/2026,3,2505,1,159652,Q2,Medium
521,7/28/2026,6,3713,7,173562,Q1,Low
522,8/17/2025,10,4222,43,211956,Q3,Low
523,8/24/2026,10,4464,40,415342,Q2,Critical
524,7/12/2026,2,2221,30,226667,Q1,Critical
525,8/11/2025,3,1825,17,360650,Q2,Low
526,6/22/2025,7,4661,48,444189,Q3,Low
527,9/2/2025,10,4783,32,161310,Q2,Critical
528,8/13/2025,6,2038,16,335646,Q3,Low
529,9/28/2025,4,1281,49,99342,Q1,High
530,5/14/2026,1,731,24,382984,Q4,Low
