Capacity_ID,Date,Department_ID,Available_Employees,Available_Capacity_Hours,Max_OT_Hours,Capacity_Target
421,5/25/2025,10,440,3800,11,0.86
422,4/23/2026,8,348,4970,5,0.77
423,11/15/2026,6,37,5166,14,0.81
424,12/2/2026,9,48,3745,11,0.79
425,2/17/2026,8,402,2283,8,0.79
426,5/23/2025,7,332,5023,18,0.97
427,5/4/2026,3,210,4080,13,0.83
428,1/2/2025,4,350,4594,7,0.95
429,7/3/2025,3,363,1424,12,0.82
430,5/28/2026,1,270,3157,12,0.77
431,3/13/2026,5,490,2080,19,0.88
432,4/22/2025,10,261,4850,13,0.93
433,11/28/2026,9,288,2961,8,0.87
434,3/21/2026,6,157,5327,7,0.89
435,2/27/2025,6,495,628,10,0.95
436,11/3/2026,9,435,3094,8,0.76
437,3/3/2025,8,128,2177,14,0.94
438,6/5/2025,2,198,4107,15,0.91
439,4/16/2025,1,131,4826,16,0.81
440,4/8/2026,4,436,5040,9,0.88
441,2/11/2026,5,252,3028,11,0.87
442,2/6/2025,5,388,4578,6,0.95
443,2/8/2026,7,191,5454,9,0.76
444,5/3/2025,9,375,3297,19,0.99
445,9/8/2026,4,482,872,10,0.95
446,3/22/2026,1,155,3909,16,0.81
447,3/23/2026,10,83,5858,6,0.92
448,12/6/2025,7,214,1724,8,0.95
449,12/26/2025,2,230,4438,10,0.83
450,8/5/2026,9,444,1441,16,0.81
451,3/29/2025,6,379,3759,15,0.98
452,9/13/2025,10,456,2055,10,0.75
453,4/25/2026,7,119,821,8,0.93
454,12/25/2026,5,66,5237,6,0.94
455,8/17/2025,10,93,4033,9,0.92
456,10/30/2026,10,72,1806,13,0.93
457,1/8/2025,10,395,586,16,0.92
458,5/7/2025,6,291,4884,5,0.91
459,5/19/2025,2,79,4817,14,0.85
460,1/6/2026,9,251,3288,18,0.95
461,12/14/2025,9,122,3082,6,0.82
462,4/15/2025,1,61,2910,18,0.79
463,6/21/2025,8,480,4609,18,0.93
464,8/29/2025,6,496,3419,11,0.8
465,8/6/2026,1,454,5315,8,0.79
466,3/17/2025,7,47,4587,11,0.76
467,1/18/2026,5,223,3309,14,0.86
468,4/1/2026,4,422,4318,7,0.93
469,3/3/2025,3,216,1372,10,0.83
470,11/18/2025,3,317,5909,8,0.77
471,3/5/2025,2,291,4407,8,0.89
472,1/23/2025,5,488,5881,10,0.94
473,9/30/2025,7,372,2965,13,0.94
474,4/25/2025,1,479,3754,6,0.99
475,4/4/2025,8,250,5270,12,0.94
476,5/11/2026,10,213,3762,10,0.93
477,3/2/2025,4,462,1478,17,0.89
478,4/11/2026,6,78,3682,18,0.88
479,10/3/2025,8,420,5569,11,0.94
480,4/7/2025,4,395,2093,19,0.79
481,10/9/2025,3,468,5764,5,0.9
482,8/5/2026,5,197,688,5,0.91
483,4/22/2025,10,439,3096,8,0.79
484,2/16/2025,9,178,5252,5,0.85
485,1/31/2026,4,480,4551,13,0.96
486,10/28/2026,9,459,5366,10,0.92
487,11/4/2025,8,352,940,17,0.85
488,11/9/2025,9,314,2898,15,1
489,11/25/2025,3,156,3376,10,0.84
490,9/21/2026,7,211,2723,12,0.86
491,4/1/2025,3,205,2749,9,0.87
492,6/10/2026,8,197,3871,19,0.77
493,12/11/2026,3,102,3176,15,0.96
494,6/7/2026,7,337,1869,14,0.94
495,5/11/2025,1,22,2805,17,0.9
496,9/14/2025,10,428,1981,16,0.99
497,4/19/2026,5,261,5347,19,0.75
498,11/2/2026,4,456,995,7,0.93
499,9/23/2026,2,300,3165,15,0.93
500,7/20/2025,8,103,2159,13,0.89
501,6/17/2026,9,259,1022,13,0.82
502,3/27/2026,4,158,5625,19,0.79
503,7/20/2026,2,417,3481,7,0.85
504,9/7/2026,1,57,5835,19,0.99
505,12/26/2025,4,452,1521,9,0.78
506,11/18/2026,5,63,2217,13,0.99
507,12/22/2026,5,218,3960,18,0.97
508,10/11/2026,4,286,2924,19,0.88
509,8/8/2025,4,218,5448,8,0.89
510,6/16/2026,4,457,1471,16,0.98
511,3/8/2025,2,437,5577,18,0.76
512,10/10/2025,7,360,2819,10,0.99
513,9/24/2025,2,454,3849,8,0.98
514,5/17/2025,5,302,3384,16,0.79
515,6/24/2025,1,276,5174,14,0.86
516,4/19/2025,2,221,4838,11,0.87
517,9/19/2025,4,23,5607,6,0.97
518,6/16/2025,3,225,1283,9,0.75
519,2/14/2025,2,496,2996,11,0.89
520,8/29/2026,6,239,1463,7,0.96
521,9/11/2025,4,116,2319,17,0.83
522,12/4/2026,5,338,4446,18,0.88
523,11/24/2026,4,280,2930,8,0.91
524,9/14/2025,10,133,5900,15,0.83
525,7/21/2025,7,275,5320,19,0.82
526,11/8/2025,9,443,5919,9,0.95
527,7/21/2025,1,355,4120,8,0.78
528,2/17/2026,1,120,4472,14,0.85
529,2/10/2025,10,371,3331,16,0.86
530,1/28/2025,9,159,2622,16,0.97
531,9/6/2025,4,176,5173,13,0.99
532,12/24/2025,4,176,4010,13,0.81
533,1/14/2026,5,202,3971,14,0.89
534,5/3/2025,5,313,4451,9,0.88
535,7/18/2025,4,441,2884,8,0.82
536,3/25/2025,9,403,3486,6,0.77
537,3/10/2025,2,405,2894,5,0.85
538,5/27/2025,1,396,2278,9,0.93
539,6/19/2026,3,43,1914,7,0.96
540,5/17/2026,9,370,5114,11,0.98
541,3/15/2026,10,60,5871,11,0.84
542,5/4/2025,4,345,883,6,0.82
543,11/15/2025,6,242,3573,11,0.95
544,4/28/2026,4,318,3046,19,0.97
545,8/3/2025,6,25,662,16,0.84
546,4/28/2025,2,446,1851,6,0.9
547,12/20/2026,9,30,3823,8,0.79
548,9/18/2026,3,491,4940,18,0.95
549,3/7/2025,9,83,589,12,0.77
550,1/6/2025,4,89,4769,12,0.84
551,11/26/2025,4,230,2033,12,0.86
552,3/19/2025,2,194,2411,8,0.8
553,4/25/2026,10,301,5624,16,0.89
554,4/2/2026,5,95,2043,16,0.81
555,6/30/2025,7,469,4194,16,0.99
556,8/17/2026,4,459,4129,19,0.95
557,12/18/2026,4,363,5397,5,0.99
558,6/15/2025,2,474,837,11,0.99
559,7/6/2025,6,380,3021,11,0.83
560,9/2/2026,7,474,5435,13,0.8
561,5/27/2025,7,87,5650,14,0.99
562,2/25/2025,8,116,848,13,0.9
563,10/2/2025,8,344,2729,6,0.97
564,5/18/2025,8,132,3076,10,0.77
565,4/25/2026,5,98,5419,16,0.81
566,1/31/2025,9,423,1973,8,0.85
567,11/10/2026,1,481,4584,8,0.77
568,8/8/2026,1,341,5175,18,0.9
569,7/16/2026,2,231,1848,19,0.89
570,3/20/2026,10,446,5746,11,0.88
571,6/25/2025,2,106,952,6,0.8
572,8/26/2026,7,181,3731,7,0.87
573,9/16/2026,9,122,1545,13,1
574,2/9/2026,6,170,2302,19,0.85
575,9/4/2025,1,431,3473,15,0.81
576,2/11/2025,3,101,4948,19,0.83
577,11/8/2025,10,99,2228,9,0.93
578,11/21/2026,8,177,1520,5,0.78
579,4/27/2026,2,379,1895,5,0.81
580,10/26/2026,5,496,2072,18,0.95
581,3/20/2025,6,96,4336,16,0.93
582,6/12/2025,1,276,3956,18,0.88
583,10/26/2026,3,257,3642,8,0.95
584,10/21/2025,6,42,5908,11,0.91
585,5/18/2025,3,181,804,14,0.93
586,2/20/2026,1,26,5847,16,0.94
587,3/27/2025,10,449,1803,19,0.85
588,12/16/2025,10,258,1527,13,0.78
589,10/15/2026,7,466,4419,16,0.85
590,5/6/2026,3,48,5503,17,0.84
591,4/2/2025,9,46,2294,11,0.98
592,4/27/2025,5,340,4938,10,0.83
593,3/14/2026,2,160,4620,8,0.78
594,12/26/2026,9,381,3662,10,0.93
595,12/27/2026,9,80,4317,5,0.99
596,7/13/2025,3,231,2661,14,0.77
597,9/8/2025,2,371,4728,17,0.82
598,1/4/2026,4,266,2842,18,0.78
599,4/6/2025,5,82,5723,11,0.8
600,11/26/2025,8,76,3660,12,0.79
601,10/21/2025,9,30,2014,19,0.85
602,7/9/2026,8,476,2954,12,0.84
603,11/11/2026,9,471,1836,9,0.98
604,2/24/2025,5,142,2754,18,0.9
605,1/7/2025,4,431,2162,6,0.87
606,7/15/2025,6,24,3178,17,0.78
607,2/19/2025,2,72,5201,6,0.87
608,3/10/2026,8,394,1351,19,0.92
609,2/22/2025,5,281,3432,5,0.82
610,8/26/2026,10,204,4679,17,0.87
611,7/31/2026,1,70,746,13,0.78
612,6/9/2026,3,336,4787,10,0.99
613,2/14/2025,1,175,4946,10,0.84
614,7/16/2025,4,292,618,5,0.97
615,3/30/2025,8,308,5052,17,0.85
616,8/1/2025,4,460,3879,7,0.86
617,4/24/2026,6,114,3744,9,0.79
618,11/19/2026,8,91,867,18,0.91
619,12/15/2026,3,234,4486,15,0.8
620,2/28/2026,8,78,2377,7,0.92
621,6/15/2026,8,188,5403,13,0.82
622,2/23/2025,5,496,4865,16,0.94
623,10/19/2026,10,382,5687,6,0.84
624,8/27/2026,3,147,2947,6,0.88
625,5/6/2026,9,337,1428,5,0.91
626,5/5/2026,2,124,1406,11,0.85
627,11/2/2025,7,477,4116,11,0.91
628,1/31/2026,5,115,3810,8,0.93
629,4/29/2026,9,193,5574,6,0.84
630,2/20/2026,3,144,991,11,0.96
631,5/4/2026,2,437,4973,15,0.99
632,3/11/2026,9,414,983,13,0.82
633,8/1/2025,8,250,1075,12,0.9
634,4/16/2026,3,205,5725,14,0.95
635,11/25/2025,1,228,4464,17,0.9
